frontend_file,frontend_line,frontend_method,frontend_path,backend_path,backend_method,backend_file,status,notes
pages/Profile.js,29,PUT,api/v1/users/me,api/v1/users/me,GET,venv/lib/python3.11/site-packages/fastapi/security/http.py,method_mismatch,Path exists but method mismatch: PUT vs GET
pages/Profile.js,29,PUT,api/v1/users/me,api/v1/users/me,GET,venv/lib/python3.11/site-packages/fastapi/security/http.py,method_mismatch,Path exists but method mismatch: PUT vs GET
contexts/AuthContext.js,29,GET,api/v1/auth/me,,,,missing_backend,No corresponding backend endpoint found
contexts/AuthContext.js,29,GET,api/v1/auth/me,,,,missing_backend,No corresponding backend endpoint found
contexts/AuthContext.js,29,GET,api/v1/auth/me,,,,missing_backend,No corresponding backend endpoint found
contexts/AuthContext.js,70,POST,api/v1/auth/login-email,,,,missing_backend,No corresponding backend endpoint found
contexts/AuthContext.js,70,POST,api/v1/auth/login-email,,,,missing_backend,No corresponding backend endpoint found
contexts/AuthContext.js,70,GET,api/v1/auth/login-email,,,,missing_backend,No corresponding backend endpoint found
contexts/AuthContext.js,92,POST,api/v1/auth/register,,,,missing_backend,No corresponding backend endpoint found
contexts/AuthContext.js,92,POST,api/v1/auth/register,,,,missing_backend,No corresponding backend endpoint found
contexts/AuthContext.js,92,GET,api/v1/auth/register,,,,missing_backend,No corresponding backend endpoint found
components/FileUpload.js,81,POST,api/v1/files/upload,,,,missing_backend,No corresponding backend endpoint found
components/FileUpload.js,81,POST,api/v1/files/upload,,,,missing_backend,No corresponding backend endpoint found
components/LogsViewer.js,53,GET,api/v1/admin/logs/audit,,,,missing_backend,No corresponding backend endpoint found
components/LogsViewer.js,53,GET,api/v1/admin/logs/audit,,,,missing_backend,No corresponding backend endpoint found
components/LogsViewer.js,53,GET,api/v1/admin/logs/audit,,,,missing_backend,No corresponding backend endpoint found
components/LogsViewer.js,85,GET,api/v1/admin/logs/export,,,,missing_backend,No corresponding backend endpoint found
components/LogsViewer.js,85,GET,api/v1/admin/logs/export,,,,missing_backend,No corresponding backend endpoint found
components/LogsViewer.js,85,GET,api/v1/admin/logs/export,,,,missing_backend,No corresponding backend endpoint found
components/LoRAManagement.js,36,GET,api/v1/canary-lora/lora/status,,,,missing_backend,No corresponding backend endpoint found
components/LoRAManagement.js,36,GET,api/v1/canary-lora/lora/status,,,,missing_backend,No corresponding backend endpoint found
components/LoRAManagement.js,36,GET,api/v1/canary-lora/lora/status,,,,missing_backend,No corresponding backend endpoint found
components/LoRAManagement.js,49,GET,api/v1/canary-lora/lora/quality-statistics,,,,missing_backend,No corresponding backend endpoint found
components/LoRAManagement.js,49,GET,api/v1/canary-lora/lora/quality-statistics,,,,missing_backend,No corresponding backend endpoint found
components/LoRAManagement.js,49,GET,api/v1/canary-lora/lora/quality-statistics,,,,missing_backend,No corresponding backend endpoint found
components/LoRAManagement.js,63,GET,api/v1/canary-lora/lora/training-batch,,,,missing_backend,No corresponding backend endpoint found
components/LoRAManagement.js,63,GET,api/v1/canary-lora/lora/training-batch,,,,missing_backend,No corresponding backend endpoint found
components/LoRAManagement.js,63,GET,api/v1/canary-lora/lora/training-batch,,,,missing_backend,No corresponding backend endpoint found
components/LoRAManagement.js,80,GET,api/v1/canary-lora/lora/priority-examples,,,,missing_backend,No corresponding backend endpoint found
components/LoRAManagement.js,80,GET,api/v1/canary-lora/lora/priority-examples,,,,missing_backend,No corresponding backend endpoint found
components/LoRAManagement.js,80,GET,api/v1/canary-lora/lora/priority-examples,,,,missing_backend,No corresponding backend endpoint found
components/LoRAManagement.js,97,GET,api/v1/canary-lora/lora/export-data,,,,missing_backend,No corresponding backend endpoint found
components/LoRAManagement.js,97,GET,api/v1/canary-lora/lora/export-data,,,,missing_backend,No corresponding backend endpoint found
components/LoRAManagement.js,97,GET,api/v1/canary-lora/lora/export-data,,,,missing_backend,No corresponding backend endpoint found
components/TokenBalance.js,16,GET,api/v1/tokens/balance,,,,missing_backend,No corresponding backend endpoint found
components/TokenBalance.js,16,GET,api/v1/tokens/balance,,,,missing_backend,No corresponding backend endpoint found
components/TokenBalance.js,16,GET,api/v1/tokens/balance,,,,missing_backend,No corresponding backend endpoint found
